[2026-06-24 10:15:32] INFO    | Application started successfully
[2026-06-24 10:15:33] DEBUG   | Loading configuration from /etc/app/config.yaml
[2026-06-24 10:15:34] INFO    | Database connection established (host=localhost, port=5432)
[2026-06-24 10:15:35] WARNING | Config key 'cache_ttl' not found, using default value 300
[2026-06-24 10:15:36] INFO    | Server listening on port 8080
[2026-06-24 10:15:40] ERROR   | Connection timeout to external API (url=https://api.example.com/data)
[2026-06-24 10:15:41] WARNING | Retrying connection (attempt 1/3)
[2026-06-24 10:15:42] ERROR   | Connection refused by external API
[2026-06-24 10:15:43] WARNING | Retrying connection (attempt 2/3)
[2026-06-24 10:15:44] INFO    | External API connection restored
[2026-06-24 10:16:00] DEBUG   | Received request: GET /api/users (ip=192.168.1.100)
[2026-06-24 10:16:01] INFO    | Response sent: 200 OK (duration=45ms)
[2026-06-24 10:16:30] ERROR   | File not found: /var/log/app/data.csv
[2026-06-24 10:16:31] WARNING | Using fallback data source
[2026-06-24 10:17:00] DEBUG   | Cache hit for key 'user_list'
[2026-06-24 10:17:30] CRITICAL| Out of memory error (available=128MB, required=512MB)
[2026-06-24 10:17:31] ERROR   | Shutting down due to critical error
